review_id,customer_id,performance_id,event_rating,venue_rating,comment_text,created_at
1,8,5,2,1,Parking near the venue was a nightmare but the concert made up for it. Our seats had a clear view of the stage and the whole crowd was electric. The acoustics in the balcony were muddy but the energy was still amazing.,2026-06-11 12:00:00
2,15,5,3,1,"The stage production and video screens were worth the ticket price alone. A tight setlist, a killer light show, and a crowd that never sat down. The opening act warmed up the room before an unforgettable encore.",2026-05-26 12:00:00
3,12,5,1,2,Parking near the venue was a nightmare but the concert made up for it. The opening act warmed up the room before an unforgettable encore. The acoustics in the balcony were muddy but the energy was still amazing.,2026-06-12 12:00:00
4,106,5,2,2,Parking near the venue was a nightmare but the concert made up for it. The opening act warmed up the room before an unforgettable encore. The stage production and video screens were worth the ticket price alone.,2026-06-11 12:00:00
5,79,22,4,2,Parking near the venue was a nightmare but the concert made up for it. The opening act warmed up the room before an unforgettable encore.,2025-11-19 12:00:00
6,40,37,1,4,"The opening act warmed up the room before an unforgettable encore. A tight setlist, a killer light show, and a crowd that never sat down. Great atmosphere, friendly staff, and surprisingly short beer lines.",2026-04-09 12:00:00
7,16,24,3,5,"Great atmosphere, friendly staff, and surprisingly short beer lines. The sound quality was incredible and the lighting design stole the show. A tight setlist, a killer light show, and a crowd that never sat down.",2026-02-21 12:00:00
8,92,37,3,2,"A tight setlist, a killer light show, and a crowd that never sat down. Our seats had a clear view of the stage and the whole crowd was electric. The sound quality was incredible and the lighting design stole the show.",2026-04-17 12:00:00
9,65,25,3,4,The stage production and video screens were worth the ticket price alone. Our seats had a clear view of the stage and the whole crowd was electric. The sound quality was incredible and the lighting design stole the show.,2025-12-20 12:00:00
10,62,25,4,1,"Great atmosphere, friendly staff, and surprisingly short beer lines. A tight setlist, a killer light show, and a crowd that never sat down. The opening act warmed up the room before an unforgettable encore.",2025-12-23 12:00:00
11,67,31,4,2,"Our seats had a clear view of the stage and the whole crowd was electric. Great atmosphere, friendly staff, and surprisingly short beer lines.",2025-10-29 12:00:00
12,66,61,3,1,The opening act warmed up the room before an unforgettable encore. Our seats had a clear view of the stage and the whole crowd was electric.,2025-09-16 12:00:00
13,55,34,4,4,The opening act warmed up the room before an unforgettable encore. Parking near the venue was a nightmare but the concert made up for it. The sound quality was incredible and the lighting design stole the show.,2025-10-06 12:00:00
14,86,34,3,4,The opening act warmed up the room before an unforgettable encore. The stage production and video screens were worth the ticket price alone.,2025-10-08 12:00:00
15,69,38,1,4,The sound quality was incredible and the lighting design stole the show. The stage production and video screens were worth the ticket price alone.,2026-04-04 12:00:00
16,19,38,4,5,The acoustics in the balcony were muddy but the energy was still amazing. Parking near the venue was a nightmare but the concert made up for it. The opening act warmed up the room before an unforgettable encore.,2026-04-18 12:00:00
17,103,40,4,2,"A tight setlist, a killer light show, and a crowd that never sat down. The sound quality was incredible and the lighting design stole the show.",2025-12-08 12:00:00
18,111,40,2,2,The acoustics in the balcony were muddy but the energy was still amazing. The sound quality was incredible and the lighting design stole the show.,2025-11-30 12:00:00
19,41,41,5,4,"The stage production and video screens were worth the ticket price alone. The acoustics in the balcony were muddy but the energy was still amazing. A tight setlist, a killer light show, and a crowd that never sat down.",2026-01-10 12:00:00
20,11,41,4,5,"A tight setlist, a killer light show, and a crowd that never sat down. The opening act warmed up the room before an unforgettable encore.",2026-01-02 12:00:00
21,81,56,3,2,"Great atmosphere, friendly staff, and surprisingly short beer lines. The acoustics in the balcony were muddy but the energy was still amazing. Our seats had a clear view of the stage and the whole crowd was electric.",2026-05-15 12:00:00
22,47,45,4,1,"Great atmosphere, friendly staff, and surprisingly short beer lines. Parking near the venue was a nightmare but the concert made up for it.",2026-03-21 12:00:00
23,25,56,1,3,The sound quality was incredible and the lighting design stole the show. The acoustics in the balcony were muddy but the energy was still amazing. The stage production and video screens were worth the ticket price alone.,2026-05-26 12:00:00
24,41,45,2,4,The acoustics in the balcony were muddy but the energy was still amazing. Our seats had a clear view of the stage and the whole crowd was electric.,2026-03-17 12:00:00
25,12,48,1,1,Parking near the venue was a nightmare but the concert made up for it. The stage production and video screens were worth the ticket price alone.,2026-02-23 12:00:00
26,103,27,5,3,"Parking near the venue was a nightmare but the concert made up for it. A tight setlist, a killer light show, and a crowd that never sat down. The stage production and video screens were worth the ticket price alone.",2025-12-26 12:00:00
27,75,23,2,4,The acoustics in the balcony were muddy but the energy was still amazing. The opening act warmed up the room before an unforgettable encore.,2026-02-24 12:00:00
28,17,27,2,5,"The opening act warmed up the room before an unforgettable encore. The acoustics in the balcony were muddy but the energy was still amazing. A tight setlist, a killer light show, and a crowd that never sat down.",2025-12-13 12:00:00
29,83,27,3,2,Parking near the venue was a nightmare but the concert made up for it. The sound quality was incredible and the lighting design stole the show.,2025-12-13 12:00:00
30,9,23,2,5,"Great atmosphere, friendly staff, and surprisingly short beer lines. Parking near the venue was a nightmare but the concert made up for it. The acoustics in the balcony were muddy but the energy was still amazing.",2026-02-20 12:00:00
31,46,52,5,4,"The acoustics in the balcony were muddy but the energy was still amazing. A tight setlist, a killer light show, and a crowd that never sat down. The opening act warmed up the room before an unforgettable encore.",2025-10-27 12:00:00
32,49,32,1,2,"The opening act warmed up the room before an unforgettable encore. A tight setlist, a killer light show, and a crowd that never sat down. Our seats had a clear view of the stage and the whole crowd was electric.",2026-03-03 12:00:00
33,36,32,1,4,"The sound quality was incredible and the lighting design stole the show. Parking near the venue was a nightmare but the concert made up for it. A tight setlist, a killer light show, and a crowd that never sat down.",2026-02-25 12:00:00
34,30,32,4,3,"Great atmosphere, friendly staff, and surprisingly short beer lines. Parking near the venue was a nightmare but the concert made up for it. A tight setlist, a killer light show, and a crowd that never sat down.",2026-03-01 12:00:00
